"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"C","Chinanu Onuaku",3000,"Hou@Por 09:00PM ET",0,"Hou"
"PG","Aaron Brooks",3000,"LAC@Ind 06:00PM ET",12.571,"Ind"
"SG","Alan Anderson",3000,"LAC@Ind 06:00PM ET",5.750,"LAC"
"SG","Joe Young",3000,"LAC@Ind 06:00PM ET",5.604,"Ind"
"SF","Paul Pierce",3000,"LAC@Ind 06:00PM ET",7.000,"LAC"
"SF","Luc Richard Mbah a Moute",3000,"LAC@Ind 06:00PM ET",12.294,"LAC"
"SF","Wesley Johnson",3000,"LAC@Ind 06:00PM ET",10.375,"LAC"
"PF/C","Brandon Bass",3000,"LAC@Ind 06:00PM ET",7.111,"LAC"
"PF","Lavoy Allen",3000,"LAC@Ind 06:00PM ET",8.368,"Ind"
"PF","Rakeem Christmas",3000,"LAC@Ind 06:00PM ET",5.125,"Ind"
"PF","Georges Niang",3000,"LAC@Ind 06:00PM ET",3.205,"Ind"
"PF","Brice Johnson",3000,"LAC@Ind 06:00PM ET",0,"LAC"
"C","Kevin Seraphin",3000,"LAC@Ind 06:00PM ET",10.364,"Ind"
"C","Diamond Stone",3000,"LAC@Ind 06:00PM ET",3.750,"LAC"
"PG","Malcolm Delaney",3000,"Atl@LAL 09:30PM ET",13.766,"Atl"
"PG","Marcelo Huertas",3000,"Atl@LAL 09:30PM ET",7.550,"LAL"
"SF","Metta World Peace",3000,"Atl@LAL 09:30PM ET",3.000,"LAL"
"SF","Ryan Kelly",3000,"Atl@LAL 09:30PM ET",4.750,"Atl"
"SF","Taurean Prince",3000,"Atl@LAL 09:30PM ET",10.000,"Atl"
"SF","DeAndre' Bembry",3000,"Atl@LAL 09:30PM ET",2.708,"Atl"
"PF","Kris Humphries",3000,"Atl@LAL 09:30PM ET",9.536,"Atl"
"PF","Mike Scott",3000,"Atl@LAL 09:30PM ET",0,"Atl"
"PF","Thomas Robinson",3000,"Atl@LAL 09:30PM ET",5.156,"LAL"
"C","Tiago Splitter",3000,"Atl@LAL 09:30PM ET",0,"Atl"
"C","Tarik Black",3000,"Atl@LAL 09:30PM ET",14.397,"LAL"
"C","Ivica Zubac",3000,"Atl@LAL 09:30PM ET",5.333,"LAL"
